idx,image_id,class
0,SOT23DUMMY01_04-APG_ITIS_H52_1_111_4,0
1,SOT23DUMMY01_09-APG_ITIS_H52_1_12_3,0
2,WEA938001D1A_17-APG_ITIS_H49_1_40_2,0
3,WEL91128011A_01-APG_ITIS_H09_2_51_2,0
4,WEL91605613A_05-APG_ITIS_H09_2_217_2,0
5,WEL91739311A_01-APG_ITIS_H09_1_181_3,0
6,WEL92010995A_23-APG_ITIS_H09_2_196_2,0
7,WEL920109M5A_04-APG_ITIS_H166_1_356_2,0
8,WEL92441295A_25-APG_ITIS_H49_1_45_1,0
9,WEL92500755A_29_2_322_4,0
10,WEL92500755A_36-APG_ITIS_H09_2_358_1,0
11,WEL92500755A_36_2_358_1,0
12,WEL925175D6A_04_1_334_3,0
13,WEL92522455A_05-APG_ITIS_H13_1_202_3,0
14,WEL92529411A_01-APG_ITIS_H09_1_196_3,0
15,WEL92529411A_01-APG_ITIS_H09_1_71_1,0
16,WEL92532356A_03-APG_ITIS_H13_1_34_2,0
17,WEL925380E5A_05-APG_ITIS_H13_1_35_4,0
18,WEL925380E5A_34-APG_ITIS_H13_2_58_2 - Copy,0
19,WEL925380E5A_34-APG_ITIS_H13_2_58_2,0
20,WEL92540714A_08-APG_ITIS_H09_2_136_3,0
21,WEL92604645A_09-APG_ITIS_H13_1_266_3,0
22,WEL92633415A_05_1_213_3,0
23,WEL92633415A_09_2_380_1,0
24,WEL92636296A_03-APG_ITIS_H13_1_318_4,0
25,WEL92700349A_08-APG_ITIS_H53_1_263_1,0
26,WEL927058H7A_01-APG_ITIS_H09_1_189_2,0
27,WEL928113B5A_02-APG_ITIS_H09_1_321_3,0
28,WEL928113B5A_02-APG_ITIS_H09_2_80_2,0
29,WEL92815614A_01-APG_ITIS_H09_1_289_1,0
30,WEL92824415A_30_1_207_4,0
31,WEL92824415A_36_2_191_4,0
32,WEL928289R5A_30_1_38_4,0
33,WEL92829218A_18-APG_ITIS_H09_2_333_1,0
34,WEL92831423A_02-APG_ITIS_H166_1_80_3,0
35,WEL92836045A_24_1_8_1,0
36,WEL928363D5A_08-APG_ITIS_H52_1_188_2,0
37,WEL928378D5A_09-APG_ITIS_H09_2_154_3,0
38,WEL92838995A_14_2_122_3,0
39,WEL92839355A_44_2_178_4,0
40,WEL928426P5A_09_2_137_4,0
41,WEL928478F6A_09-APG_ITIS_H13_2_280_2,0
42,WEL92902815A_01_1_230_1,0
43,WEL92905095A_09_1_203_1,0
44,WEL92905146A_20-APG_ITIS_H13_2_376_2,0
45,WEL92905146A_20_2_376_2,0
46,WEL929056M5A_03_2_10_1,0
47,WEL929056M5A_08_1_153_3,0
48,WEL92905817A_03-APG_ITIS_H09_1_134_2,0
49,WEL92905817A_05-APG_ITIS_H166_1_205_2,0
50,WEL92905817A_05-APG_ITIS_H166_2_114_2,0
51,WEL92905817A_15-APG_ITIS_H09_2_239_1,0
52,WEL92905817A_20-APG_ITIS_H13_1_358_4,0
53,WEL92905817A_21-APG_ITIS_H13_1_200_2,0
54,WEL92905817A_24-APG_ITIS_H166_1_69_3,0
55,WEL92906426A_03-APG_ITIS_H09_2_333_1,0
56,WEL92906914A_03-APG_ITIS_H09_1_317_2,0
57,WEL92906914A_08-APG_ITIS_H09_2_126_1,0
58,WEL92906914A_09-APG_ITIS_H166_1_298_1,0
59,WEL92908895A_08-APG_ITIS_H166_1_9_2,0
60,WEL92908895A_09-APG_ITIS_H166_2_12_2,0
61,WEL929093J5A_01_1_63_4,0
62,WEL92913553A_02-APG_ITIS_H09_2_274_1,0
63,WEL92914045A_13-APG_ITIS_H166_1_60_3,0
64,WEL929172D7A_16-APG_ITIS_H13_2_315_2,0
65,WEL92918655A_13-APG_ITIS_H13_2_82_2,0
66,WEL929189Q7A_05-APG_ITIS_H09_2_238_1,0
67,WEL929189Q7A_06-APG_ITIS_H09_1_64_1,0
68,WEL92919055A_10-APG_ITIS_H13_2_354_1,0
69,WEL92921322A_10-APG_ITIS_H13_2_182_2,0
70,WEL92921322A_23-APG_ITIS_H09_1_331_3,0
71,WEL92921322A_50-APG_ITIS_H13_1_305_2,0
72,WEL92922235A_31-APG_ITIS_H54_1_157_1,0
73,WEL92923255A_15-APG_ITIS_H09_1_345_1,0
74,WEL92923255A_16-APG_ITIS_H09_2_89_3,0
75,WEL92923255A_29-APG_ITIS_H09_1_229_4,0
76,WEL92923255A_30-APG_ITIS_H09_1_158_3,0
77,WEL92923255A_42-APG_ITIS_H13_1_225_3,0
78,WEL92923615A_10_1_243_4,0
79,WEL92923915A_06_1_246_3,0
80,WEL929260A5A_05_1_318_4,0
81,WEL929261H9A_19-APG_ITIS_H13_1_106_3,0
82,WEL929276A5A_24-APG_ITIS_H09_2_195_2,0
83,WEL92927797A_02-APG_ITIS_H111_2_91_2,0
84,WEL9292891BA_02_1_132_1,0
85,WEL92929595A_08-APG_ITIS_H09_1_101_2,0
86,WEL92930215A_03-APG_ITIS_H13_1_7_3,0
